empreendimento;quadra;lote;area_m2;preco;status_provisorio;rua;id
Solaris Home Resort;A;01;468.14;478000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A01
Solaris Home Resort;A;02;450.0;459000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A02
Solaris Home Resort;A;03;450.0;459000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A03
Solaris Home Resort;A;04;469.53;479000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A04
Solaris Home Resort;A;05;469.82;479000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A05
Solaris Home Resort;A;06;464.05;473000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A06
Solaris Home Resort;A;07;465.68;475000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A07
Solaris Home Resort;A;08;466.39;476000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A08
Solaris Home Resort;A;09;465.16;474000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A09
Solaris Home Resort;A;10;487.48;497000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A10
Solaris Home Resort;A;11;504.68;515000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A11
Solaris Home Resort;A;12;504.83;515000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A12
Solaris Home Resort;A;13;504.92;515000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A13
Solaris Home Resort;A;14;504.92;515000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A14
Solaris Home Resort;A;15;504.86;515000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A15
Solaris Home Resort;A;16;504.71;515000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A16
Solaris Home Resort;A;17;711.04;725000;reservado;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A17
Solaris Home Resort;A;18;430.36;439000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A18
Solaris Home Resort;A;19;465.12;474000;reservado;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A19
Solaris Home Resort;A;20;465.12;474000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A20
Solaris Home Resort;A;21;465.12;474000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A21
Solaris Home Resort;A;22;465.12;474000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A22
Solaris Home Resort;A;23;465.12;474000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A23
Solaris Home Resort;A;24;465.12;474000;reservado;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A24
Solaris Home Resort;A;25;465.12;474000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A25
Solaris Home Resort;A;26;465.12;474000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A26
Solaris Home Resort;A;27;465.12;474000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A27
Solaris Home Resort;A;28;465.23;475000;reservado;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A28
Solaris Home Resort;A;29;454.52;464000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A29
Solaris Home Resort;A;30;455.97;465000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A30
Solaris Home Resort;A;31;477.7;487000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A31
Solaris Home Resort;A;32;477.7;487000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A32
Solaris Home Resort;A;33;477.7;487000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A33
Solaris Home Resort;A;34;477.7;487000;reservado;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A34
Solaris Home Resort;A;35;477.7;487000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A35
Solaris Home Resort;A;36;456.11;465000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A36
Solaris Home Resort;A;37;456.65;466000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A37
Solaris Home Resort;A;38;461.71;471000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A38
Solaris Home Resort;A;39;580.11;592000;reservado;Alameda de Maresias / Alameda dos Cajueiros;map-sol-A39
Solaris Home Resort;B;01;699.39;713000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B01
Solaris Home Resort;B;02;504.32;514000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B02
Solaris Home Resort;B;03;504.27;514000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B03
Solaris Home Resort;B;04;504.32;514000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B04
Solaris Home Resort;B;05;509.54;520000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B05
Solaris Home Resort;B;06;450.11;459000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B06
Solaris Home Resort;B;07;450.09;459000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B07
Solaris Home Resort;B;08;450.07;459000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B08
Solaris Home Resort;B;09;450.05;459000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B09
Solaris Home Resort;B;10;450.03;459000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B10
Solaris Home Resort;B;11;583.68;595000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B11
Solaris Home Resort;B;12;832.07;849000;reservado;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B12
Solaris Home Resort;B;13;450.24;459000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B13
Solaris Home Resort;B;14;450.05;459000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B14
Solaris Home Resort;B;15;450.63;460000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B15
Solaris Home Resort;B;16;450.31;459000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B16
Solaris Home Resort;B;17;485.68;495000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B17
Solaris Home Resort;B;18;481.37;491000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B18
Solaris Home Resort;B;19;481.5;491000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B19
Solaris Home Resort;B;20;481.48;491000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B20
Solaris Home Resort;B;21;481.52;491000;reservado;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B21
Solaris Home Resort;B;22;481.61;491000;vendido;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B22
Solaris Home Resort;B;23;562.51;574000;disponivel;Alameda de Maresias / Alameda dos Cajueiros;map-sol-B23
Solaris Home Resort;C;01;561.34;573000;disponivel;Alameda de Castelhanos / Alameda da Aruana;map-sol-C01
Solaris Home Resort;C;02;359.55;367000;disponivel;Alameda de Castelhanos / Alameda da Aruana;map-sol-C02
Solaris Home Resort;C;03;360.0;367000;disponivel;Alameda de Castelhanos / Alameda da Aruana;map-sol-C03
Solaris Home Resort;C;04;360.0;367000;reservado;Alameda de Castelhanos / Alameda da Aruana;map-sol-C04
Solaris Home Resort;C;05;360.0;367000;vendido;Alameda de Castelhanos / Alameda da Aruana;map-sol-C05
Solaris Home Resort;C;06;360.0;367000;disponivel;Alameda de Castelhanos / Alameda da Aruana;map-sol-C06
Solaris Home Resort;C;07;360.0;367000;vendido;Alameda de Castelhanos / Alameda da Aruana;map-sol-C07
Solaris Home Resort;C;08;360.0;367000;vendido;Alameda de Castelhanos / Alameda da Aruana;map-sol-C08
Solaris Home Resort;C;09;360.0;367000;disponivel;Alameda de Castelhanos / Alameda da Aruana;map-sol-C09
Solaris Home Resort;C;10;360.0;367000;disponivel;Alameda de Castelhanos / Alameda da Aruana;map-sol-C10
Solaris Home Resort;C;11;360.0;367000;vendido;Alameda de Castelhanos / Alameda da Aruana;map-sol-C11
Solaris Home Resort;C;12;360.0;367000;vendido;Alameda de Castelhanos / Alameda da Aruana;map-sol-C12
Solaris Home Resort;C;13;360.0;367000;disponivel;Alameda de Castelhanos / Alameda da Aruana;map-sol-C13
Solaris Home Resort;C;14;360.0;367000;disponivel;Alameda de Castelhanos / Alameda da Aruana;map-sol-C14
Solaris Home Resort;C;15;360.0;367000;disponivel;Alameda de Castelhanos / Alameda da Aruana;map-sol-C15
Solaris Home Resort;C;16;360.0;367000;vendido;Alameda de Castelhanos / Alameda da Aruana;map-sol-C16
Solaris Home Resort;C;17;525.4;536000;disponivel;Alameda de Castelhanos / Alameda da Aruana;map-sol-C17
Solaris Home Resort;C;18;456.16;465000;vendido;Alameda de Castelhanos / Alameda da Aruana;map-sol-C18
Solaris Home Resort;C;19;360.0;367000;disponivel;Alameda de Castelhanos / Alameda da Aruana;map-sol-C19
Solaris Home Resort;C;20;360.0;367000;reservado;Alameda de Castelhanos / Alameda da Aruana;map-sol-C20
Solaris Home Resort;C;21;360.0;367000;vendido;Alameda de Castelhanos / Alameda da Aruana;map-sol-C21
Solaris Home Resort;C;22;360.0;367000;disponivel;Alameda de Castelhanos / Alameda da Aruana;map-sol-C22
Solaris Home Resort;C;23;360.0;367000;disponivel;Alameda de Castelhanos / Alameda da Aruana;map-sol-C23
Solaris Home Resort;C;24;360.0;367000;disponivel;Alameda de Castelhanos / Alameda da Aruana;map-sol-C24
Solaris Home Resort;C;25;360.0;367000;vendido;Alameda de Castelhanos / Alameda da Aruana;map-sol-C25
Solaris Home Resort;C;26;360.0;367000;reservado;Alameda de Castelhanos / Alameda da Aruana;map-sol-C26
Solaris Home Resort;C;27;360.0;367000;disponivel;Alameda de Castelhanos / Alameda da Aruana;map-sol-C27
Solaris Home Resort;C;28;360.0;367000;disponivel;Alameda de Castelhanos / Alameda da Aruana;map-sol-C28
Solaris Home Resort;C;29;360.0;367000;disponivel;Alameda de Castelhanos / Alameda da Aruana;map-sol-C29
