id;quadra;lote;lat;lng;utm_e;utm_n;area_m2_dxf;area_m2_cadastro;confidence;source
map-sol-A01;A;01;;;;;;468.14;pending;sem match automático no DXF
map-sol-A02;A;02;-18.73097421;-47.52643986;233599.072;7927052.255;450.0;450.0;candidate_area;DXF centroid EPSG:31983 · match por área/lote · revisar quadra K
map-sol-A03;A;03;-18.73091092;-47.52630966;233612.709;7927059.459;450.0;450.0;candidate_area;DXF centroid EPSG:31983 · match por área/lote · revisar quadra K
map-sol-A04;A;04;-18.73085174;-47.52617621;233626.696;7927066.211;469.53;469.53;direct;DXF centroid EPSG:31983
map-sol-A05;A;05;-18.73079793;-47.52603563;233641.442;7927072.379;469.82;469.82;direct;DXF centroid EPSG:31983
map-sol-A06;A;06;-18.73075156;-47.5258934;233656.375;7927077.727;464.02;464.05;direct;DXF centroid EPSG:31983
map-sol-A07;A;07;-18.73071264;-47.52575067;233671.371;7927082.249;465.66;465.68;direct;DXF centroid EPSG:31983
map-sol-A08;A;08;-18.73068028;-47.52560632;233686.55;7927086.048;466.37;466.39;direct;DXF centroid EPSG:31983
map-sol-A09;A;09;-18.73065445;-47.52546051;233701.892;7927089.126;465.15;465.16;direct;DXF centroid EPSG:31983
map-sol-A10;A;10;-18.7306362;-47.52530963;233717.782;7927091.373;487.57;487.48;direct;DXF centroid EPSG:31983
map-sol-A11;A;11;-18.73063076;-47.52515032;233734.58;7927092.212;504.57;504.68;direct;DXF centroid EPSG:31983
map-sol-A12;A;12;-18.73064894;-47.52498916;233751.611;7927090.44;504.73;504.83;direct;DXF centroid EPSG:31983
map-sol-A13;A;13;-18.73068808;-47.52483235;233768.216;7927086.341;504.81;504.92;direct;DXF centroid EPSG:31983
map-sol-A14;A;14;-18.73074794;-47.52468298;233784.068;7927079.935;504.82;504.92;direct;DXF centroid EPSG:31983
map-sol-A15;A;15;-18.73082732;-47.52454395;233798.86;7927071.354;504.75;504.86;direct;DXF centroid EPSG:31983
map-sol-A16;A;16;-18.73092459;-47.52441787;233812.314;7927060.771;504.61;504.71;direct;DXF centroid EPSG:31983
map-sol-A17;A;17;-18.73104578;-47.52428008;233827.041;7927047.557;709.77;711.04;direct;DXF centroid EPSG:31983
map-sol-A18;A;18;-18.73095473;-47.52398839;233857.671;7927058.075;430.18;430.36;direct;DXF centroid EPSG:31983
map-sol-A19;A;19;-18.73086174;-47.52409195;233846.6;7927068.218;465.07;465.12;direct;DXF centroid EPSG:31983
map-sol-A20;A;20;-18.73075779;-47.52419072;233836.017;7927079.58;465.07;465.12;direct;DXF centroid EPSG:31983
map-sol-A21;A;21;-18.73066405;-47.52429996;233824.345;7927089.796;465.07;465.12;direct;DXF centroid EPSG:31983
map-sol-A22;A;22;-18.73058153;-47.52441865;233811.694;7927098.757;465.07;465.12;direct;DXF centroid EPSG:31983
map-sol-A23;A;23;-18.73051111;-47.52454559;233798.191;7927106.365;465.07;465.12;direct;DXF centroid EPSG:31983
map-sol-A24;A;24;-18.73045354;-47.52467948;233783.975;7927112.54;465.07;465.12;direct;DXF centroid EPSG:31983
map-sol-A25;A;25;-18.73040943;-47.52481892;233769.196;7927117.216;465.07;465.12;direct;DXF centroid EPSG:31983
